arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
advanced_alchemy/alembic/templates/sync/env.py,function,,do_run_migrations,A,1,51,64
advanced_alchemy/cache/_null.py,method,SyncCacheRegionProtocol,get,A,1,22,22
advanced_alchemy/cache/_null.py,method,SyncCacheRegionProtocol,get_or_create,A,1,24,29
advanced_alchemy/cache/_null.py,method,SyncCacheRegionProtocol,set,A,1,31,31
advanced_alchemy/cache/_null.py,method,SyncCacheRegionProtocol,delete,A,1,33,33
advanced_alchemy/cache/_null.py,method,SyncCacheRegionProtocol,invalidate,A,1,35,35
advanced_alchemy/cache/_null.py,method,SyncCacheRegionProtocol,configure,A,1,37,43
advanced_alchemy/cache/_null.py,method,AsyncCacheRegionProtocol,get,A,1,53,53
advanced_alchemy/cache/_null.py,method,AsyncCacheRegionProtocol,get_or_create,A,1,55,60
advanced_alchemy/cache/_null.py,method,AsyncCacheRegionProtocol,set,A,1,62,62
advanced_alchemy/cache/_null.py,method,AsyncCacheRegionProtocol,delete,A,1,64,64
advanced_alchemy/cache/_null.py,method,AsyncCacheRegionProtocol,invalidate,A,1,66,66
advanced_alchemy/cache/_null.py,method,AsyncCacheRegionProtocol,configure,A,1,68,74
advanced_alchemy/cache/_null.py,method,_NoValue,__repr__,A,1,86,87
advanced_alchemy/cache/_null.py,method,NullRegion,get,A,1,105,115
advanced_alchemy/cache/_null.py,method,NullRegion,get_or_create,A,1,117,133
advanced_alchemy/cache/_null.py,method,NullRegion,set,A,1,135,136
advanced_alchemy/cache/_null.py,method,NullRegion,delete,A,1,143,144
advanced_alchemy/cache/_null.py,method,NullRegion,invalidate,A,1,150,151
advanced_alchemy/cache/_null.py,method,NullRegion,configure,A,1,153,171
advanced_alchemy/cache/config.py,function,,_default_arguments,A,1,12,13
advanced_alchemy/cache/manager.py,function,,_make_region_stub,A,1,36,38
advanced_alchemy/cache/manager.py,method,CacheManager,__init__,A,1,128,152
advanced_alchemy/cache/manager.py,method,CacheManager,_make_key,A,1,223,232
advanced_alchemy/cache/manager.py,method,CacheManager,delete_sync,A,1,262,268
advanced_alchemy/cache/manager.py,method,CacheManager,bump_model_version_sync,A,1,395,415
advanced_alchemy/cache/manager.py,method,CacheManager,get_list_sync,A,1,529,542
advanced_alchemy/cache/manager.py,method,CacheManager,set_list_sync,A,1,544,557
advanced_alchemy/cache/manager.py,method,CacheManager,get_list_and_count_sync,A,1,559,572
advanced_alchemy/cache/manager.py,method,CacheManager,set_list_and_count_sync,A,1,574,587
advanced_alchemy/cache/manager.py,method,CacheManager,invalidate_all_sync,A,1,620,630
advanced_alchemy/cache/manager.py,method,CacheManager,get_async,A,1,636,645
advanced_alchemy/cache/manager.py,method,CacheManager,set_async,A,1,647,654
advanced_alchemy/cache/manager.py,method,CacheManager,delete_async,A,1,656,662
advanced_alchemy/cache/manager.py,method,CacheManager,get_or_create_async,A,1,664,689
advanced_alchemy/cache/manager.py,method,CacheManager,get_entity_async,A,1,691,711
advanced_alchemy/cache/manager.py,method,CacheManager,set_entity_async,A,1,713,730
advanced_alchemy/cache/manager.py,method,CacheManager,invalidate_entity_async,A,1,732,745
advanced_alchemy/cache/manager.py,method,CacheManager,bump_model_version_async,A,1,747,761
advanced_alchemy/cache/manager.py,method,CacheManager,get_model_version_async,A,1,763,775
advanced_alchemy/cache/manager.py,method,CacheManager,get_many_async,A,1,777,779
advanced_alchemy/cache/manager.py,method,CacheManager,set_many_async,A,1,781,783
advanced_alchemy/cache/manager.py,method,CacheManager,get_many_and_count_async,A,1,785,787
advanced_alchemy/cache/manager.py,method,CacheManager,set_many_and_count_async,A,1,789,791
advanced_alchemy/cache/manager.py,method,CacheManager,get_list_async,A,1,793,806
advanced_alchemy/cache/manager.py,method,CacheManager,set_list_async,A,1,808,821
advanced_alchemy/cache/manager.py,method,CacheManager,get_list_and_count_async,A,1,823,836
advanced_alchemy/cache/manager.py,method,CacheManager,set_list_and_count_async,A,1,838,851
advanced_alchemy/cache/manager.py,method,CacheManager,invalidate_all_async,A,1,869,877
advanced_alchemy/config/asyncio.py,method,SQLAlchemyAsyncConfig,__hash__,A,1,131,132
advanced_alchemy/config/asyncio.py,method,SQLAlchemyAsyncConfig,__eq__,A,1,134,135
advanced_alchemy/config/asyncio.py,method,SQLAlchemyAsyncConfig,get_session,A,1,196,207
advanced_alchemy/config/common.py,method,GenericSessionConfig,autobegin,A,1,167,168
advanced_alchemy/config/common.py,method,GenericSessionConfig,autobegin,A,1,171,172
advanced_alchemy/config/common.py,method,GenericSessionConfig,autoflush,A,1,175,176
advanced_alchemy/config/common.py,method,GenericSessionConfig,autoflush,A,1,179,180
advanced_alchemy/config/common.py,method,GenericSessionConfig,bind,A,1,183,184
advanced_alchemy/config/common.py,method,GenericSessionConfig,bind,A,1,187,188
advanced_alchemy/config/common.py,method,GenericSessionConfig,binds,A,1,191,196
advanced_alchemy/config/common.py,method,GenericSessionConfig,binds,A,1,199,203
advanced_alchemy/config/common.py,method,GenericSessionConfig,expire_on_commit,A,1,206,207
advanced_alchemy/config/common.py,method,GenericSessionConfig,expire_on_commit,A,1,210,211
advanced_alchemy/config/common.py,method,GenericSessionConfig,join_transaction_mode,A,1,214,215
advanced_alchemy/config/common.py,method,GenericSessionConfig,join_transaction_mode,A,1,218,219
advanced_alchemy/config/common.py,method,GenericSessionConfig,twophase,A,1,222,223
advanced_alchemy/config/common.py,method,GenericSessionConfig,twophase,A,1,226,227
advanced_alchemy/config/common.py,method,GenericSQLAlchemyConfig,__eq__,A,1,502,503
advanced_alchemy/config/common.py,method,GenericSQLAlchemyConfig,engine_config_dict,A,1,587,594
advanced_alchemy/config/routing.py,function,,_default_read_replicas,A,1,35,37
advanced_alchemy/config/routing.py,function,,_default_engines,A,1,40,42
advanced_alchemy/config/routing.py,method,RoutingConfig,__repr__,A,1,169,175
advanced_alchemy/config/sync.py,method,SQLAlchemySyncConfig,__hash__,A,1,120,121
advanced_alchemy/config/sync.py,method,SQLAlchemySyncConfig,__eq__,A,1,123,124
advanced_alchemy/config/sync.py,method,SQLAlchemySyncConfig,get_session,A,1,179,194
advanced_alchemy/extensions/fastapi/cli.py,function,,register_database_commands,A,1,33,42
advanced_alchemy/extensions/fastapi/cli.py,function,,database_group,A,1,36,39
advanced_alchemy/extensions/fastapi/extension.py,method,AdvancedAlchemy,__init__,A,1,80,85
advanced_alchemy/extensions/fastapi/extension.py,method,AdvancedAlchemy,provide_service,A,1,88,99
advanced_alchemy/extensions/fastapi/extension.py,method,AdvancedAlchemy,provide_service,A,1,102,113
advanced_alchemy/extensions/fastapi/extension.py,method,AdvancedAlchemy,provide_service,A,1,115,153
advanced_alchemy/extensions/fastapi/providers.py,function,,create_not_in_filter_provider,A,1,660,674
advanced_alchemy/extensions/fastapi/providers.py,function,,create_in_filter_provider,A,1,699,713
advanced_alchemy/extensions/fastapi/providers.py,function,,create_boolean_filter_provider,A,1,738,752
advanced_alchemy/extensions/fastapi/providers.py,function,,create_choices_filter_provider,A,1,777,791
advanced_alchemy/extensions/fastapi/providers.py,function,,provide_limit_offset_pagination,A,1,535,553
advanced_alchemy/extensions/fastapi/providers.py,function,,provide_service,A,1,215,226
advanced_alchemy/extensions/fastapi/providers.py,function,,provide_service,A,1,230,241
advanced_alchemy/extensions/flask/cli.py,function,,get_database_migration_plugin,A,1,20,37
advanced_alchemy/extensions/flask/cli.py,function,,database_group,A,1,42,49
advanced_alchemy/extensions/flask/utils.py,method,FlaskServiceMixin,jsonify,A,1,20,41
advanced_alchemy/extensions/flask/config.py,function,,serializer,A,1,35,47
advanced_alchemy/extensions/flask/config.py,method,SQLAlchemySyncConfig,_setup_session_handling,A,1,114,114
advanced_alchemy/extensions/flask/config.py,method,SQLAlchemyAsyncConfig,_setup_session_handling,A,1,211,211
advanced_alchemy/extensions/flask/extension.py,method,AdvancedAlchemy,portal,A,1,51,53
advanced_alchemy/extensions/flask/extension.py,method,AdvancedAlchemy,config,A,1,56,58
advanced_alchemy/extensions/flask/extension.py,method,AdvancedAlchemy,is_async_enabled,A,1,61,63
advanced_alchemy/extensions/litestar/_utils.py,function,,set_aa_scope_state,A,1,38,46
advanced_alchemy/extensions/litestar/_utils.py,function,,delete_aa_scope_state,A,1,49,56
advanced_alchemy/extensions/litestar/cli.py,function,,get_database_migration_plugin,A,1,15,33
advanced_alchemy/extensions/litestar/cli.py,function,,database_group,A,1,37,39
advanced_alchemy/extensions/litestar/dto.py,function,,default_factory,A,1,477,478
advanced_alchemy/extensions/litestar/dto.py,method,SQLAlchemyDTO,handle_orm_descriptor,A,1,132,141
advanced_alchemy/extensions/litestar/dto.py,method,SQLAlchemyDTO,detect_nested_field,A,1,465,466
advanced_alchemy/extensions/litestar/session.py,method,SessionModelMixin,__table_args__,A,1,60,70
advanced_alchemy/extensions/litestar/session.py,method,SessionModelMixin,session_id,A,1,74,75
advanced_alchemy/extensions/litestar/session.py,method,SessionModelMixin,data,A,1,78,79
advanced_alchemy/extensions/litestar/session.py,method,SessionModelMixin,expires_at,A,1,82,83
advanced_alchemy/extensions/litestar/session.py,method,SessionModelMixin,is_expired,A,1,96,102
advanced_alchemy/extensions/litestar/session.py,method,SessionModelMixin,is_expired,A,1,105,111
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySessionBackendBase,__init__,A,1,124,139
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySessionBackendBase,_select_session_obj,A,1,165,166
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySessionBackendBase,_update_session_expiry,A,1,168,170
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySessionBackendBase,delete_expired,A,1,200,201
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySessionBackendBase,model,A,1,204,205
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySessionBackendBase,config,A,1,208,209
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySessionBackendBase,config,A,1,212,213
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySessionBackendBase,alchemy,A,1,216,217
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemyAsyncSessionBackend,_get_session_obj,A,1,232,236
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemyAsyncSessionBackend,delete_all,A,1,341,345
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemyAsyncSessionBackend,delete_expired,A,1,347,351
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySyncSessionBackend,_get_session_obj,A,1,357,358
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySyncSessionBackend,get,A,1,376,386
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySyncSessionBackend,set,A,1,442,453
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySyncSessionBackend,delete,A,1,462,469
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySyncSessionBackend,_delete_all_sync,A,1,471,474
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySyncSessionBackend,delete_all,A,1,476,478
advanced_alchemy/extensions/litestar/session.py,method,SQLAlchemySyncSessionBackend,_delete_expired_sync,A,1,480,483
